"value_key","label_lt","meaning_lt","tension_lt","synonyms_lt"
"aiskumas","Aiškumas","Matyti esmę, kryptį ir kitą žingsnį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp aiškumo ir per didelio kontrolės poreikio.","skaidrumas, kryptis, supratimas, konkretumas"
"ambicija","Ambicija","Siekti aukštų tikslų ir didesnio masto.","Vidinė įtampa kyla, kai tau tenka rinktis tarp didelių tikslų ir poilsio bei santykių.","siekis, karjera, aukšti tikslai, veržlumas"
"artumas","Artumas","Jausti tikrą emocinį ryšį su žmonėmis.","Vidinė įtampa kyla, kai tau tenka rinktis tarp artumo poreikio ir baimės prarasti savarankiškumą.","ryšys, šiluma, intymumas, artimi santykiai"
"ateitis","Ateitis","Galvoti į priekį ir kurti ilgalaikę kryptį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ateities planavimo ir gyvenimo šiandien.","vizija, planavimas, perspektyva, ilgalaikiškumas"
"atkaklumas","Atkaklumas","Tęsti net tada, kai tampa sunku.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ištvermės ir užsispyrimo, kai reikėtų sustoti.","užsispyrimas, ištvermė, tęstinumas, ryžtas"
"atlaidumas","Atlaidumas","Paleisti nuoskaudą ir neįstrigti kaltinime.","Vidinė įtampa kyla, kai tau tenka rinktis tarp atleidimo ir aiškių ribų saugojimo.","atleidimas, paleidimas, pakantumas, susitaikymas"
"atsakomybe","Atsakomybė","Prisiimti pareigas ir laikytis duoto žodžio.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pareigos kitiems ir savo laisvės.","pareiga, įsipareigojimas, patikimumas, rūpestingumas"
"atsistatymas","Atsistatymas","Grįžti į jėgas po krūvio ar streso.","Vidinė įtampa kyla, kai tau tenka rinktis tarp atsigavimo ir spaudimo nuolat veikti.","poilsis, regeneracija, atsigavimas, resursai"
"atsparumas","Atsparumas","Išlikti tvirtam patiriant spaudimą ar nesėkmes.","Vidinė įtampa kyla, kai tau tenka rinktis tarp stiprybės ir poreikio pripažinti pažeidžiamumą.","tvirtumas, ištvermė, psichologinis stabilumas, atsitiesimas"
"atviras_bendravimas","Atviras bendravimas","Kalbėti aiškiai, tiesiai ir pagarbiai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tiesumo ir baimės sukelti konfliktą.","dialogas, nuoširdumas, aiškumas, komunikacija"
"atvirumas","Atvirumas","Priimti naujas idėjas, patirtis ir žmones.","Vidinė įtampa kyla, kai tau tenka rinktis tarp atvirumo naujumui ir saugumo poreikio.","lankstumas, smalsumas, priėmimas, naujumas"
"augimas","Augimas","Mokytis, bręsti ir plėsti savo galimybes.","Vidinė įtampa kyla, kai tau tenka rinktis tarp augimo ir noro likti saugioje zonoje.","tobulėjimas, branda, mokymasis, plėtra"
"aukstas_atlyginimas","Aukštas atlyginimas","Gauti didelį finansinį atlygį už darbą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pinigų ir prasmės, sveikatos ar laiko.","atlygis, pajamos, uždarbis, finansinė nauda"
"autentiskumas","Autentiškumas","Būti savimi, o ne prisitaikyta versija.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tikrumo ir noro pritapti.","tikrumas, savastis, nuoširdumas, natūralumas"
"autonomija","Autonomija","Spręsti savarankiškai ir turėti veikimo laisvę.","Vidinė įtampa kyla, kai tau tenka rinktis tarp savarankiškumo ir bendradarbiavimo poreikio.","savarankiškumas, nepriklausomybė, laisvė, savivalda"
"autoritetas","Autoritetas","Turėti pripažintą balsą ir įtaką kitiems.","Vidinė įtampa kyla, kai tau tenka rinktis tarp įtakos ir poreikio išlikti lygiaverčiam.","statusas, įtaka, pripažinimas, vadovavimas"
"bendradarbiavimas","Bendradarbiavimas","Kurti rezultatą kartu su kitais žmonėmis.","Vidinė įtampa kyla, kai tau tenka rinktis tarp bendro darbo ir asmeninės kontrolės.","partnerystė, kooperacija, komanda, kartu"
"bendrumas","Bendrumas","Jausti, kad esi dalis kažko bendro.","Vidinė įtampa kyla, kai tau tenka rinktis tarp priklausymo ir individualios krypties.","vienybė, kartu, bendras jausmas, priklausymas"
"bendruomene","Bendruomenė","Priklausyti žmonių grupei ir ją stiprinti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp bendruomenės poreikių ir asmeninių prioritetų.","grupė, vieta, socialinis ratas, savi"
"bendruomeniskumas","Bendruomeniškumas","Rūpintis bendru ryšiu ir tarpusavio pagalba.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pagalbos bendruomenei ir savo ribų.","solidarumas, kaimynystė, bendrumas, įsitraukimas"
"buvimas","Buvimas","Būti čia ir dabar, be nuolatinio skubėjimo.","Vidinė įtampa kyla, kai tau tenka rinktis tarp buvimo ir spaudimo kažką pasiekti.","dabartis, sąmoningumas, ramus buvimas, čia"
"darnumas","Darnumas","Gyventi suderintai su savimi, kitais ir aplinka.","Vidinė įtampa kyla, kai tau tenka rinktis tarp darnos siekio ir neišvengiamo konflikto.","suderinamumas, harmonija, balansas, taika"
"dekingumas","Dėkingumas","Pastebėti ir vertinti tai, ką turi.","Vidinė įtampa kyla, kai tau tenka rinktis tarp dėkingumo ir noro siekti daugiau.","įvertinimas, padėka, vertinimas, pripažinimas"
"demesingumas","Dėmesingumas","Sąmoningai pastebėti save, kitus ir aplinką.","Vidinė įtampa kyla, kai tau tenka rinktis tarp dėmesio dabarčiai ir skubėjimo į rezultatą.","mindfulness, pastabumas, sąmoningas dėmesys, atida"
"dialogas","Dialogas","Ieškoti supratimo per abipusį kalbėjimąsi.","Vidinė įtampa kyla, kai tau tenka rinktis tarp dialogo ir noro greitai įrodyti savo tiesą.","pokalbis, klausymasis, diskusija, bendravimas"
"dosnumas","Dosnumas","Dalintis laiku, dėmesiu, žiniomis ar resursais.","Vidinė įtampa kyla, kai tau tenka rinktis tarp dosnumo ir išsekimo, kai ribos neaiškios.","dalijimasis, dosni širdis, parama, duoti"
"drasa","Drąsa","Veikti nepaisant baimės ar nežinomybės.","Vidinė įtampa kyla, kai tau tenka rinktis tarp drąsos ir saugumo poreikio.","narsa, ryžtas, rizika, veikimas"
"draugiskumas","Draugiškumas","Kurti šiltą, lengvą ir palankų santykį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp draugiškumo ir poreikio pasakyti nepatogią tiesą.","malonumas, šiltumas, palankumas, geranoriškumas"
"draugyste","Draugystė","Kurti patikimus ir palaikančius santykius.","Vidinė įtampa kyla, kai tau tenka rinktis tarp draugystės lojalumo ir asmeninių poreikių.","bičiulystė, artimieji, palaikymas, savi"
"dvasinumas","Dvasinumas","Ieškoti gilesnės prasmės ir vidinio ryšio.","Vidinė įtampa kyla, kai tau tenka rinktis tarp dvasinės prasmės ir praktinių kasdienybės reikalavimų.","dvasingumas, tikėjimas, prasmė, vidinis ryšys"
"dziaugsmas_ir_humoras","Džiaugsmas ir humoras","Lengvumas, juokas ir gyvenimo džiaugsmo jausmas.","Vidinė įtampa kyla, kai tau tenka rinktis tarp lengvumo ir situacijų rimtumo.","humoras, linksmybė, žaismingumas, džiaugsmas"
"efektyvumas","Efektyvumas","Pasiekti rezultatą taupant laiką ir energiją.","Vidinė įtampa kyla, kai tau tenka rinktis tarp greito rezultato ir gylio ar kokybės.","našumas, produktyvumas, optimizavimas, greitis"
"ekologija","Ekologija","Rūpintis gamta ir atsakingu poveikiu aplinkai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ekologijos ir patogumo ar vartojimo įpročių.","aplinkosauga, tvarumas, gamta, atsakomybė aplinkai"
"ekspresija","Ekspresija","Laisvai išreikšti save žodžiu, kūnu ar kūryba.","Vidinė įtampa kyla, kai tau tenka rinktis tarp saviraiškos ir baimės būti įvertintam.","išraiška, saviraiška, raiška, matomumas"
"emocinis_saugumas","Emocinis saugumas","Jaustis priimtam, girdimam ir negrėsmingame santykyje.","Vidinė įtampa kyla, kai tau tenka rinktis tarp saugumo poreikio ir augimo per nepatogumą.","saugus ryšys, priėmimas, ramybė, pasitikėjimas"
"empatija","Empatija","Jausti ir suprasti kito žmogaus patirtį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp empatijos kitiems ir savo ribų saugojimo.","įsijautimas, supratimas, atjauta, jautrumas"
"energija","Energija","Turėti vidinės jėgos veikti ir kurti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp energijos išraiškos ir atsigavimo poreikio.","gyvybingumas, jėga, aktyvumas, užsidegimas"
"estetika","Estetika","Vertinti grožį, formą, stilių ir harmoniją.","Vidinė įtampa kyla, kai tau tenka rinktis tarp grožio siekio ir praktiškumo ar paprastumo.","grožis, dizainas, stilius, harmonija"
"etika","Etika","Elgtis pagal moralinius principus ir atsakomybę.","Vidinė įtampa kyla, kai tau tenka rinktis tarp principų ir patogaus kompromiso.","moralė, principai, sąžinė, dorumas"
"finansine_gerove","Finansinė gerovė","Turėti pakankamai pinigų saugiam ir oriam gyvenimui.","Vidinė įtampa kyla, kai tau tenka rinktis tarp finansų kaupimo ir gyvenimo kokybės šiandien.","pinigai, gerovė, pajamos, materialumas"
"finansine_laisve","Finansinė laisvė","Turėti pinigų laisvai rinktis gyvenimo kryptį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp finansinės laisvės ir rizikos siekiant jos.","nepriklausomi finansai, laisvė, kapitalas, pasirinkimai"
"finansinis_saugumas","Finansinis saugumas","Jaustis stabiliai dėl pinigų ir ateities.","Vidinė įtampa kyla, kai tau tenka rinktis tarp saugumo kaupimo ir drąsos investuoti ar keistis.","stabilios pajamos, atsargos, saugumas, finansai"
"fizine_stiprybe","Fizinė stiprybė","Jausti kūno jėgą, ištvermę ir pajėgumą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kūno stiprinimo ir kitų gyvenimo sričių.","jėga, kūnas, sportas, ištvermė"
"gailestingumas","Gailestingumas","Reaguoti į kitų skausmą švelniai ir žmogiškai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp gailestingumo ir atsakomybės už pasekmes.","atjauta, širdingumas, pasigailėjimas, žmoniškumas"
"galia_ir_vadovavimas","Galia ir vadovavimas","Daryti įtaką, priimti sprendimus ir vesti kitus.","Vidinė įtampa kyla, kai tau tenka rinktis tarp galios naudojimo ir tarnystės žmonėms.","valdžia, įtaka, kontrolė, lyderystė"
"galimybes","Galimybės","Matyti ir naudoti atviras perspektyvas veikti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp galimybių gausos ir aiškaus pasirinkimo.","šansai, potencialas, perspektyvos, durys"
"gamta_ir_aplinka","Gamta ir aplinka","Jausti ryšį su gamta ir ją saugoti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp gamtos vertės ir miesto ar vartojimo patogumo.","gamta, aplinka, žemė, ekologija"
"garbe_ir_vientisumas","Garbė ir vientisumas","Laikytis principų net kai niekas nemato.","Vidinė įtampa kyla, kai tau tenka rinktis tarp garbės ir naudos siekio.","garbė, orumas, principai, integralumas"
"gerumas","Gerumas","Rinktis švelnų, geranorišką elgesį su žmonėmis.","Vidinė įtampa kyla, kai tau tenka rinktis tarp gerumo kitiems ir savo poreikių nepametimo.","malonumas, širdingumas, atjauta, geranoriškumas"
"greitis","Greitis","Veikti greitai, trumpinant kelią iki rezultato.","Vidinė įtampa kyla, kai tau tenka rinktis tarp greičio ir kokybės ar ramybės.","sparta, tempas, operatyvumas, vikrumas"
"gyvybingumas","Gyvybingumas","Jaustis gyvam, energingam ir įsitraukusiam.","Vidinė įtampa kyla, kai tau tenka rinktis tarp intensyvumo ir stabilaus ritmo.","vitalumas, energija, gyvumas, jėga"
"harmonija","Harmonija","Sukurti taiką, suderinamumą ir vidinį balansą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp harmonijos ir būtino atviro konflikto.","darna, ramybė, pusiausvyra, suderinamumas"
"igyvendinimas","Įgyvendinimas","Paversti idėjas realiais veiksmais ir rezultatais.","Vidinė įtampa kyla, kai tau tenka rinktis tarp plano įgyvendinimo ir lankstumo keisti kryptį.","realizacija, vykdymas, atlikimas, užbaigimas"
"ikvepimas","Įkvėpimas","Jausti pakylėjimą ir norą veikti prasmingai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp įkvėpimo laukimo ir kasdienės disciplinos.","užsidegimas, motyvacija, pakylėjimas, impulsas"
"individualumas","Individualumas","Gerbti savo unikalumą ir atskirą kelią.","Vidinė įtampa kyla, kai tau tenka rinktis tarp individualumo ir priklausymo grupei.","unikalumas, savitumas, atskirumas, asmeniškumas"
"iniciatyva","Iniciatyva","Imtis veiksmo nelaukiant leidimo ar paskatinimo.","Vidinė įtampa kyla, kai tau tenka rinktis tarp iniciatyvos ir atsakomybės neperimti visko.","veiklumas, pradėjimas, aktyvumas, pirmas žingsnis"
"inovacijos","Inovacijos","Kurti naujus sprendimus, metodus ar kryptis.","Vidinė įtampa kyla, kai tau tenka rinktis tarp naujovių ir stabiliai veikiančių sistemų.","naujovės, progresas, eksperimentai, išradimai"
"intymumas","Intymumas","Leisti tikrą artumą, pasitikėjimą ir atvirumą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp intymumo ir baimės būti pažeidžiamam.","artumas, emocinis ryšys, pasitikėjimas, švelnumas"
"isbaigtumas","Išbaigtumas","Užbaigti dalykus iki aiškios ir pilnos formos.","Vidinė įtampa kyla, kai tau tenka rinktis tarp išbaigtumo ir per didelio perfekcionizmo.","pilnumas, užbaigimas, išdirbimas, pilnatvė"
"ismintis","Išmintis","Matyti plačiau, giliau ir brandžiau spręsti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp išmintingo apmąstymo ir per ilgo delsimo.","brandumas, įžvalga, patirtis, perspektyva"
"issilavinimas","Išsilavinimas","Kaupti žinias, ugdyti protą ir kompetenciją.","Vidinė įtampa kyla, kai tau tenka rinktis tarp mokymosi ir praktinio veikimo.","mokslas, studijos, žinios, išprusimas"
"issukis","Iššūkis","Rinktis situacijas, kurios augina ir išbando.","Vidinė įtampa kyla, kai tau tenka rinktis tarp iššūkio troškimo ir saugumo poreikio.","sunkumas, testas, augimas, išbandymas"
"istikimybe","Ištikimybė","Likti ištikimam žmonėms, pažadams ir principams.","Vidinė įtampa kyla, kai tau tenka rinktis tarp lojalumo kitiems ir tiesos sau.","lojalumas, atsidavimas, patikimumas, pastovumas"
"istverme","Ištvermė","Išlaikyti pastangas ilgą laiką.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ištvermės ir gebėjimo laiku sustoti.","atkaklumas, kantrybė, tvirtumas, laikymasis"
"itaka","Įtaka","Daryti poveikį žmonėms, sprendimams ar kultūrai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp įtakos siekio ir pagarbos kitų autonomijai.","poveikis, svoris, autoritetas, matomumas"
"itrauktis","Įtrauktis","Kurti vietą skirtingiems žmonėms ir balsams.","Vidinė įtampa kyla, kai tau tenka rinktis tarp įtraukties ir aiškių standartų ar ribų.","įvairovė, priėmimas, lygybė, dalyvavimas"
"ivairove","Įvairovė","Vertinti skirtingas patirtis, požiūrius ir žmones.","Vidinė įtampa kyla, kai tau tenka rinktis tarp įvairovės ir noro turėti aiškų vienodumą.","skirtingumas, margumas, pluralizmas, atvirumas"
"judejimas","Judėjimas","Būti veiksme, kūne, kelionėje ar pokytyje.","Vidinė įtampa kyla, kai tau tenka rinktis tarp judėjimo ir poreikio įsišaknyti.","veiksmas, kūnas, dinamika, aktyvumas"
"kantrybe","Kantrybė","Išbūti procese, kai rezultatui reikia laiko.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kantrybės ir būtinybės veikti greičiau.","laukimas, pakanta, ramumas, ištvermė"
"kilnumas","Kilnumas","Elgtis garbingai, dosniai ir aukštesniu principu.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kilnumo ir asmeninės naudos.","garbingumas, taurumas, orumas, didžiadvasiškumas"
"klausymasis","Klausymasis","Girdėti kitą žmogų, ne tik laukti atsakymo.","Vidinė įtampa kyla, kai tau tenka rinktis tarp klausymosi ir poreikio išsakyti save.","girdėjimas, dėmesys, priėmimas, supratimas"
"kokybe_ir_meistriskumas","Kokybė ir meistriškumas","Daryti gerai, giliai ir aukštu standartu.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kokybės ir greito rezultato.","meistrystė, profesionalumas, standartas, precizika"
"komandinis_darbas","Komandinis darbas","Pasiekti tikslą pasitikint komandos indėliu.","Vidinė įtampa kyla, kai tau tenka rinktis tarp komandos ritmo ir individualaus tempo.","komanda, bendradarbiavimas, kartu, sinergija"
"komfortas","Komfortas","Jaustis patogiai, saugiai ir be perteklinės įtampos.","Vidinė įtampa kyla, kai tau tenka rinktis tarp komforto ir augimo per nepatogumą.","patogumas, lengvumas, saugumas, jaukumas"
"kompetencija","Kompetencija","Gebėti atlikti darbą gerai ir užtikrintai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kompetencijos siekio ir baimės klysti.","gebėjimas, kvalifikacija, profesionalumas, išmanymas"
"komunikacija","Komunikacija","Keistis mintimis taip, kad gimtų supratimas.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kalbėjimo ir tylos kaip apsaugos.","bendravimas, dialogas, aiškumas, informacija"
"konformizmas","Konformizmas","Prisitaikyti prie normų, taisyklių ir lūkesčių.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pritapimo ir savos tiesos išlaikymo.","prisitaikymas, normos, paklusimas, pritapimas"
"kritinis_mastymas","Kritinis mąstymas","Vertinti informaciją blaiviai, klausiant ir tikrinant.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kritiškumo ir pasitikėjimo procesu ar žmonėmis.","analizė, abejonė, vertinimas, racionalumas"
"kruopstumas","Kruopštumas","Atidžiai ir tiksliai atlikti svarbias detales.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kruopštumo ir greičio.","atidumas, detalumas, preciziškumas, rūpestingumas"
"kuklumas","Kuklumas","Nepervertinti savęs ir likti paprastam.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kuklumo ir sveiko savęs parodymo.","nuolankumas, paprastumas, saikingumas, tylumas"
"kultura","Kultūra","Vertinti meną, tradicijas, kalbą ir bendrą paveldą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kultūros išlaikymo ir naujų formų priėmimo.","menas, paveldas, tradicijos, civilizacija"
"kurimas","Kūrimas","Paversti idėjas naujais dalykais ar sprendimais.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kūrimo laisvės ir užbaigimo disciplinos.","kūryba, realizacija, konstravimas, gamyba"
"kurybiskumas","Kūrybiškumas","Rasti naujas idėjas, formas ir sprendimus.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kūrybos chaoso ir struktūros poreikio.","originalumas, vaizduotė, idėjos, kūryba"
"laime","Laimė","Jausti pasitenkinimą ir gyvenimo pilnumą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp laimės siekio ir nemalonių realybės dalių priėmimo.","džiaugsmas, pasitenkinimas, gerovė, pilnatvė"
"laisve","Laisvė","Rinktis savo kelią, laiką ir sprendimus.","Vidinė įtampa kyla, kai tau tenka rinktis tarp laisvės ir atsakomybės už pasekmes.","nepriklausomybė, autonomija, pasirinkimas, erdvė"
"lankstumas","Lankstumas","Keisti požiūrį ir veiksmus pagal situaciją.","Vidinė įtampa kyla, kai tau tenka rinktis tarp lankstumo ir aiškių principų.","prisitaikymas, plastiškumas, atvirumas, mobilumas"
"lengvumas","Lengvumas","Gyventi paprasčiau, be perteklinės įtampos.","Vidinė įtampa kyla, kai tau tenka rinktis tarp lengvumo ir atsakomybės rimtumo.","paprastumas, šviesumas, žaismingumas, neapkrautumas"
"linksmybes_ir_humoras","Linksmybės ir humoras","Leisti sau juoktis, žaisti ir atsipalaiduoti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp linksmybių ir situacijos rimtumo.","juokas, pramoga, žaismingumas, džiaugsmas"
"logika","Logika","Spręsti remiantis priežastimis, faktais ir nuoseklumu.","Vidinė įtampa kyla, kai tau tenka rinktis tarp logikos ir emocinio ar intuityvaus žinojimo.","racionalumas, argumentai, protas, nuoseklumas"
"lyderyste","Lyderystė","Vesti žmones kryptingai, atsakingai ir įkvepiančiai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp vadovavimo ir kitų autonomijos.","vadovavimas, įtaka, kryptis, telkimas"
"lygybe_ir_teisingumas","Lygybė ir teisingumas","Siekti vienodų galimybių ir sąžiningo elgesio.","Vidinė įtampa kyla, kai tau tenka rinktis tarp lygybės principo ir lojalumo saviems.","teisingumas, lygiateisiškumas, sąžiningumas, nešališkumas"
"malonumas","Malonumas","Patirti kūnišką, emocinį ar estetinį pasitenkinimą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp malonumo dabar ir ilgalaikės gerovės.","pasitenkinimas, hedonizmas, mėgavimasis, komfortas"
"meile","Meilė","Rinktis rūpestį, šilumą ir artimą ryšį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp meilės kitam ir savęs nepametimo.","artumas, šiluma, rūpestis, prisirišimas"
"mentoryste","Mentorystė","Padėti kitam augti perduodant patirtį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pagalbos kitam ir savo kelio vystymo.","ugdymas, konsultavimas, palydėjimas, mokymas"
