"value_key","label_lt","meaning_lt","tension_lt","synonyms_lt"
"minimalizmas","Minimalizmas","Turėti mažiau, bet aiškiau ir sąmoningiau.","Vidinė įtampa kyla, kai tau tenka rinktis tarp paprastumo ir noro turėti daugiau pasirinkimų.","paprastumas, mažiau, tvarka, saikas"
"misija","Misija","Jausti didesnę kryptį, kuriai verta tarnauti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp misijos ir kasdienio gyvenimo ribų.","pašaukimas, tikslas, paskirtis, prasmė"
"mokslas","Mokslas","Ieškoti patikrintų žinių, įrodymų ir pažangos.","Vidinė įtampa kyla, kai tau tenka rinktis tarp mokslo įrodymų ir asmeninės patirties.","tyrimai, žinios, faktai, pažanga"
"motyvacija","Motyvacija","Turėti vidinį impulsą veikti ir siekti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp motyvacijos laukimo ir disciplinuoto veiksmo.","įkvėpimas, noras, impulsas, užsidegimas"
"namai","Namai","Turėti saugią, savą ir jaukią vietą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp namų saugumo ir pasaulio tyrinėjimo.","jaukumas, vieta, šeima, saugumas"
"nepriklausomybe","Nepriklausomybė","Gebėti gyventi ir spręsti savarankiškai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp nepriklausomybės ir artumo poreikio.","laisvė, autonomija, savarankiškumas, savivalda"
"nepriklausomybe_ir_atsakomybe","Nepriklausomybė ir atsakomybė","Būti laisvam ir atsakyti už savo pasirinkimus.","Vidinė įtampa kyla, kai tau tenka rinktis tarp savo kelio ir prisiimtų pareigų.","autonomija, pareiga, laisvė, savarankiškumas"
"nuolankumas","Nuolankumas","Mokėti nusileisti ego ir likti mokiniu.","Vidinė įtampa kyla, kai tau tenka rinktis tarp nuolankumo ir savivertės parodymo.","kuklumas, mokymasis, paprastumas, ego paleidimas"
"nuoseklumas","Nuoseklumas","Laikytis krypties, ritmo ir pasirinkto kelio.","Vidinė įtampa kyla, kai tau tenka rinktis tarp nuoseklumo ir poreikio prisitaikyti.","pastovumas, tęstinumas, ritmas, disciplina"
"nuosirdumas","Nuoširdumas","Kalbėti ir elgtis tikrai, be vaidmens.","Vidinė įtampa kyla, kai tau tenka rinktis tarp nuoširdumo ir baimės būti neteisingai suprastam.","atvirumas, tikrumas, sąžiningumas, širdingumas"
"nuotykis","Nuotykis","Ieškoti naujų patirčių, rizikos ir gyvumo.","Vidinė įtampa kyla, kai tau tenka rinktis tarp nuotykio ir stabilumo poreikio.","kelionės, rizika, atradimai, patirtys"
"objektyvumas","Objektyvumas","Vertinti be šališkumo, remiantis faktais.","Vidinė įtampa kyla, kai tau tenka rinktis tarp objektyvumo ir asmeninio lojalumo.","nešališkumas, faktai, neutralumas, racionalumas"
"originalumas","Originalumas","Kurti savitai, ne kopijuojant kitų kelią.","Vidinė įtampa kyla, kai tau tenka rinktis tarp originalumo ir noro būti suprastam.","unikalumas, savitumas, kūryba, naujumas"
"orumas","Orumas","Gerbti savo ir kito žmogaus vertę.","Vidinė įtampa kyla, kai tau tenka rinktis tarp orumo ir spaudimo nusileisti dėl naudos.","savigarba, pagarba, garbė, vertė"
"pagalba","Pagalba","Padėti, kai kitam reikia palaikymo ar veiksmo.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pagalbos ir ribų saugojimo.","parama, palaikymas, pagalba kitiems, rūpestis"
"pagalba_kitiems","Pagalba kitiems","Skirti jėgas kitų poreikiams ir gerovei.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tarnystės kitiems ir savęs nepametimo.","tarnystė, parama, rūpestis, palaikymas"
"pagarba","Pagarba","Matyti savo ir kitų žmonių orumą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pagarbos kitam ir savo tiesos išlaikymo.","orumas, vertinimas, pagarbus elgesys, pripažinimas"
"palikimas","Palikimas","Kurti tai, kas liks po tavęs.","Vidinė įtampa kyla, kai tau tenka rinktis tarp palikimo ateičiai ir gyvenimo šiandien.","paveldas, įtaka, ženklas, tęstinumas"
"paprastumas","Paprastumas","Rinktis aiškiai, be nereikalingo sudėtingumo.","Vidinė įtampa kyla, kai tau tenka rinktis tarp paprastumo ir noro viską išplėsti.","aiškumas, minimalizmas, lengvumas, paprastumas"
"pareiga","Pareiga","Daryti tai, ką laikai savo įsipareigojimu.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pareigos ir asmeninio noro.","atsakomybė, priedermė, įsipareigojimas, tarnyba"
"pasitenkinimas","Pasitenkinimas","Jausti vidinį pakankamumą dėl gyvenimo.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pasitenkinimo ir noro augti toliau.","pilnatvė, laimė, gerovė, pakankamumas"
"pasitikejimas","Pasitikėjimas","Tikėti kitu žmogumi, procesu ar savimi.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pasitikėjimo ir poreikio apsisaugoti.","tikėjimas, saugumas, patikimumas, atvirumas"
"pasitikejimas_savimi","Pasitikėjimas savimi","Tikėti savo gebėjimu rinktis ir veikti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp savivertės ir realaus grįžtamojo ryšio priėmimo.","savivertė, drąsa, tikėjimas savimi, užtikrintumas"
"patikimumas","Patikimumas","Būti žmogumi, kuriuo galima pasikliauti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp patikimumo kitiems ir savo lankstumo.","atsakomybė, pastovumas, stabilumas, laikymasis žodžio"
"patriotizmas","Patriotizmas","Gerbti savo šalį, kalbą ir bendrą istoriją.","Vidinė įtampa kyla, kai tau tenka rinktis tarp meilės saviems ir atvirumo pasauliui.","tėvynė, pilietiškumas, šalies meilė, lojalumas"
"paveldas","Paveldas","Saugoti tai, ką perdavė ankstesnės kartos.","Vidinė įtampa kyla, kai tau tenka rinktis tarp paveldo išlaikymo ir būtino atsinaujinimo.","tradicija, palikimas, šaknys, istorija"
"pazeidziamumas","Pažeidžiamumas","Leisti sau būti matomam be apsauginių kaukių.","Vidinė įtampa kyla, kai tau tenka rinktis tarp atvirumo ir baimės būti sužeistam.","atvirumas, jautrumas, tikrumas, intymumas"
"pazinimas","Pažinimas","Tyrinėti, suprasti ir plėsti suvokimą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pažinimo ir veiksmo čia ir dabar.","žinios, smalsumas, tyrinėjimas, suvokimas"
"pilietiskumas","Pilietiškumas","Veikti atsakingai kaip bendruomenės ir valstybės nariui.","Vidinė įtampa kyla, kai tau tenka rinktis tarp visuomeninės pareigos ir asmeninio patogumo.","atsakomybė visuomenei, dalyvavimas, pilietinė pareiga, valstybė"
"poilsis","Poilsis","Atkurti jėgas, nurimti ir sustoti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp poilsio ir kaltės dėl neveikimo.","atsigavimas, ramybė, atstatymas, pauzė"
"poveikis","Poveikis","Kurti matomą pokytį žmonėms ar aplinkai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp poveikio siekio ir vidinės ramybės.","įtaka, rezultatas, pokytis, reikšmė"
"prabanga","Prabanga","Mėgautis aukšta kokybe, grožiu ir išskirtinumu.","Vidinė įtampa kyla, kai tau tenka rinktis tarp prabangos ir paprastumo ar saiko.","išskirtinumas, komfortas, statusas, kokybė"
"prasmingumas","Prasmingumas","Jausti, kad tai, ką darai, turi prasmę.","Vidinė įtampa kyla, kai tau tenka rinktis tarp prasmės paieškos ir praktinių poreikių.","prasmė, tikslas, misija, gilumas"
"preciziskumas","Preciziškumas","Būti itin tiksliam ir atidžiam detalėms.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tikslumo ir judėjimo į priekį.","tikslumas, kruopštumas, detalumas, precizika"
"priklausymas","Priklausymas","Jaustis priimtam, savam ir reikalingam.","Vidinė įtampa kyla, kai tau tenka rinktis tarp priklausymo grupei ir individualumo.","bendrumas, savumas, ryšys, priėmimas"
"principingumas","Principingumas","Laikytis aiškių principų net spaudžiant aplinkai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp principų ir lankstaus kompromiso.","vertybinis tvirtumas, moralė, etika, nuoseklumas"
"pripazinimas","Pripažinimas","Būti matomam ir įvertintam už indėlį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pripažinimo poreikio ir vidinės savivertės.","įvertinimas, matomumas, statusas, pagyrimas"
"prisitaikymas","Prisitaikymas","Keistis pagal situaciją neprarandant savęs.","Vidinė įtampa kyla, kai tau tenka rinktis tarp prisitaikymo ir savo krypties saugojimo.","lankstumas, adaptacija, plastiškumas, reakcija"
"privatumas","Privatumas","Turėti savo erdvę, ribas ir vidinį gyvenimą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp privatumo ir atviro ryšio su kitais.","erdvė, ribos, saugumas, asmeniškumas"
"produktyvumas","Produktyvumas","Padaryti daugiau vertingų dalykų per turimą laiką.","Vidinė įtampa kyla, kai tau tenka rinktis tarp produktyvumo ir gyvo buvimo.","našumas, efektyvumas, rezultatyvumas, veiklumas"
"progresas","Progresas","Judėti į priekį ir gerinti esamą padėtį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp progreso ir pagarbos tam, kas jau veikia.","pažanga, vystymasis, augimas, judėjimas"
"pusiausvyra","Pusiausvyra","Derinti svarbias gyvenimo sritis be kraštutinumų.","Vidinė įtampa kyla, kai tau tenka rinktis tarp balanso ir stipraus vienos krypties siekio.","balansas, darna, harmonija, saikas"
"ramybe","Ramybė","Jausti vidinę tylą, stabilumą ir mažiau įtampos.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ramybės ir aktyvaus augimo per nepatogumą.","taika, tyla, stabilumas, vidinė ramybė"
"reputacija","Reputacija","Saugoti, kaip tavo vardas matomas kitiems.","Vidinė įtampa kyla, kai tau tenka rinktis tarp reputacijos ir autentiško rizikavimo.","vardas, įvaizdis, prestižas, patikimumas"
"rezultatai","Rezultatai","Matyti aiškią veiksmų naudą ir pasiekimus.","Vidinė įtampa kyla, kai tau tenka rinktis tarp rezultatų ir proceso kokybės.","pasiekimai, išdava, efektyvumas, sėkmė"
"ribos","Ribos","Aiškiai saugoti savo laiką, erdvę ir energiją.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ribų ir noro būti priimtam.","limitai, savisauga, ne, privatumas"
"rizikos_priemimas","Rizikos priėmimas","Sąmoningai rinktis nežinomybę dėl didesnės galimybės.","Vidinė įtampa kyla, kai tau tenka rinktis tarp rizikos ir saugumo poreikio.","rizika, drąsa, statymas, eksperimentas"
"rupestis","Rūpestis","Skirti dėmesį kito ar savo gerovei.","Vidinė įtampa kyla, kai tau tenka rinktis tarp rūpesčio ir per didelio atsakomybės prisiėmimo.","globa, atjauta, pagalba, švelnumas"
"rysys","Ryšys","Jausti tikrą sąsają su žmonėmis ar pasauliu.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ryšio ir nepriklausomybės poreikio.","artumas, kontaktas, bendrumas, santykis"
"ryztas","Ryžtas","Apsispręsti ir veikti net kai sunku.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ryžto ir gebėjimo persvarstyti kryptį.","drąsa, apsisprendimas, tvirtumas, atkaklumas"
"saikas","Saikas","Rinktis tiek, kiek pakanka ir negriauna balanso.","Vidinė įtampa kyla, kai tau tenka rinktis tarp saiko ir noro patirti daugiau.","santūrumas, pusiausvyra, ribos, matas"
"samoninga_lyderyste","Sąmoninga lyderystė","Vesti kitus atsakingai, girdint save ir žmones.","Vidinė įtampa kyla, kai tau tenka rinktis tarp vedimo į priekį ir gebėjimo sustoti pastebėti.","atsakinga lyderystė, įsisąmoninimas, vadovavimas, brandumas"
"samoningumas","Sąmoningumas","Pastebėti mintis, jausmus, veiksmus ir pasirinkimus.","Vidinė įtampa kyla, kai tau tenka rinktis tarp sąmoningumo ir automatinio greito reagavimo.","pastabumas, dėmesingumas, savistaba, budrumas"
"santykiai","Santykiai","Kurti gyvus, pagarbius ir palaikančius ryšius.","Vidinė įtampa kyla, kai tau tenka rinktis tarp santykių palaikymo ir savo poreikių.","ryšiai, artumas, bendravimas, partnerystė"
"saugumas","Saugumas","Jaustis apsaugotam, stabiliam ir negrėsmingoje aplinkoje.","Vidinė įtampa kyla, kai tau tenka rinktis tarp saugumo ir laisvės rizikuoti.","apsauga, stabilumas, ramybė, užtikrintumas"
"savarankiskumas","Savarankiškumas","Gebėti veikti remiantis savo sprendimais.","Vidinė įtampa kyla, kai tau tenka rinktis tarp savarankiškumo ir pagalbos priėmimo.","autonomija, nepriklausomybė, laisvė, savivalda"
"saves_pazinimas","Savęs pažinimas","Geriau suprasti savo motyvus, ribas ir poreikius.","Vidinė įtampa kyla, kai tau tenka rinktis tarp savianalizės ir realaus veikimo.","savistaba, refleksija, savivoka, vidinis darbas"
"saviraiska","Saviraiška","Išreikšti vidų per žodžius, kūną ar kūrybą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp saviraiškos ir baimės būti vertinamam.","raiška, ekspresija, kūryba, matomumas"
"savirealizacija","Savirealizacija","Įgyvendinti savo potencialą ir pašaukimą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp savirealizacijos ir kitų lūkesčių.","potencialas, pašaukimas, realizacija, augimas"
"saviugda","Saviugda","Sąmoningai ugdyti savo įgūdžius ir charakterį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp saviugdos ir savęs priėmimo dabar.","tobulėjimas, augimas, mokymasis, disciplina"
"saziningumas_ir_vientisumas","Sąžiningumas ir vientisumas","Sakyti tiesą ir gyventi pagal principus.","Vidinė įtampa kyla, kai tau tenka rinktis tarp sąžiningumo ir patogaus prisitaikymo.","integralumas, tiesumas, etika, skaidrumas"
"seima","Šeima","Rūpintis artimaisiais ir bendru namų ryšiu.","Vidinė įtampa kyla, kai tau tenka rinktis tarp šeimos lojalumo ir asmeninės laisvės.","artimieji, namai, giminė, rūpestis"
"sekme","Sėkmė","Pasiekti tai, ką laikai svarbiu laimėjimu.","Vidinė įtampa kyla, kai tau tenka rinktis tarp sėkmės siekio ir vidinės ramybės.","laimėjimas, pasiekimai, rezultatas, pripažinimas"
"skaidrumas","Skaidrumas","Veikti aiškiai, atvirai ir be paslėptų motyvų.","Vidinė įtampa kyla, kai tau tenka rinktis tarp skaidrumo ir privatumo poreikio.","atvirumas, aiškumas, sąžiningumas, matomumas"
"smalsumas","Smalsumas","Klausinėti, tyrinėti ir norėti suprasti daugiau.","Vidinė įtampa kyla, kai tau tenka rinktis tarp smalsumo ir susitelkimo į vieną kryptį.","pažinimas, tyrinėjimas, klausimai, domėjimasis"
"socialinis_statusas","Socialinis statusas","Turėti matomą vietą, prestižą ir pripažinimą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp statuso ir autentiškumo.","prestižas, padėtis, reputacija, įvaizdis"
"stabilumas","Stabilumas","Turėti tvirtą pagrindą, ritmą ir numatomumą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp stabilumo ir pokyčio poreikio.","pastovumas, saugumas, struktūra, pamatas"
"strategija","Strategija","Mąstyti keliais žingsniais į priekį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp ilgalaikio plano ir spontaniško veiksmo.","planas, kryptis, taktika, mąstymas"
"struktura","Struktūra","Turėti aiškią sistemą, tvarką ir rėmus.","Vidinė įtampa kyla, kai tau tenka rinktis tarp struktūros ir kūrybinės laisvės.","sistema, tvarka, rėmai, organizavimas"
"sunkus_darbas","Sunkus darbas","Dėti daug pastangų, net kai sunku.","Vidinė įtampa kyla, kai tau tenka rinktis tarp pastangų ir protingo darbo ar poilsio.","darbas, pastangos, disciplina, atkaklumas"
"susitelkimas","Susitelkimas","Laikyti dėmesį ties svarbiausiu dalyku.","Vidinė įtampa kyla, kai tau tenka rinktis tarp susitelkimo ir daugelio galimybių.","fokusas, koncentracija, dėmesys, kryptis"
"sveikata","Sveikata","Rūpintis kūnu, psichika ir energija.","Vidinė įtampa kyla, kai tau tenka rinktis tarp sveikatos ir spaudimo aukoti save tikslams.","gerovė, kūnas, savijauta, savipriežiūra"
"sveikata_ir_gerove","Sveikata ir gerovė","Kurti fizinę, emocinę ir gyvenimo gerovę.","Vidinė įtampa kyla, kai tau tenka rinktis tarp gerovės palaikymo ir intensyvių ambicijų.","sveikata, savijauta, balansas, gerbūvis"
"svelnumas","Švelnumas","Elgtis minkštai, jautriai ir rūpestingai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp švelnumo ir aiškaus tvirtumo.","meilumas, jautrumas, rūpestis, minkštumas"
"svetingumas","Svetingumas","Kurti priimančią, šiltą erdvę kitiems.","Vidinė įtampa kyla, kai tau tenka rinktis tarp svetingumo ir privatumo ar resursų ribų.","priėmimas, vaišingumas, jaukumas, atvirumas"
"tarnyste","Tarnystė","Veikti taip, kad tai būtų naudinga kitiems.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tarnystės ir savęs nepametimo.","pagalba, indėlis, altruizmas, misija"
"tarnyste_ir_savanoryste","Tarnystė ir savanorystė","Skirti laiką ir jėgas bendram gėriui.","Vidinė įtampa kyla, kai tau tenka rinktis tarp dovanojimo kitiems ir savo resursų saugojimo.","savanorystė, pagalba, bendras gėris, indėlis"
"teisingumas","Teisingumas","Siekti sąžiningo elgesio ir lygių taisyklių.","Vidinė įtampa kyla, kai tau tenka rinktis tarp teisingumo ir asmeninio lojalumo.","sąžiningumas, lygybė, teisumas, nešališkumas"
"tiesa","Tiesa","Matyti ir sakyti tai, kas yra.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tiesos ir harmonijos išsaugojimo.","tikrumas, faktai, sąžiningumas, realybė"
"tikejimas_dvasingumas","Tikėjimas / dvasingumas","Remtis vidiniu tikėjimu ar aukštesne prasme.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tikėjimo ir racionalaus paaiškinimo poreikio.","tikėjimas, dvasingumas, prasmė, religingumas"
"tikslas","Tikslas","Turėti aiškią kryptį, dėl kurios veiki.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tikslo siekimo ir lankstumo gyvenimui.","kryptis, misija, siekis, uždavinys"
"tolerancija_ir_priemimas","Tolerancija ir priėmimas","Priimti skirtingumą be skuboto atmetimo.","Vidinė įtampa kyla, kai tau tenka rinktis tarp priėmimo ir principinių ribų.","pakantumas, atvirumas, priėmimas, pagarba"
"tradicija","Tradicija","Gerbti tai, kas perduota ir laiko patikrinta.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tradicijos išsaugojimo ir naujumo.","papročiai, paveldas, tęstinumas, šaknys"
"turtas","Turtas","Kaupti materialius išteklius ir finansinę galią.","Vidinė įtampa kyla, kai tau tenka rinktis tarp turto kaupimo ir prasmingo naudojimo.","pinigai, kapitalas, gerovė, nuosavybė"
"tvarka","Tvarka","Turėti aiškumą, švarą, sistemą ir nuspėjamumą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tvarkos ir gyvo kūrybinio chaoso.","sistema, struktūra, organizuotumas, švara"
"tvarumas","Tvarumas","Rinktis ilgalaikius, atsakingus ir nežalojančius sprendimus.","Vidinė įtampa kyla, kai tau tenka rinktis tarp tvarumo ir greito patogumo.","atsakingumas, ekologija, ilgalaikiškumas, saikas"
"ugdymas","Ugdymas","Auginti kitų gebėjimus, brandą ir savarankiškumą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp kitų ugdymo ir savo augimo.","mokymas, mentorystė, auginimas, lavinimas"
"uzuojauta","Užuojauta","Matyti kito skausmą ir reaguoti širdingai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp užuojautos ir emocinio perėmimo.","atjauta, gailestingumas, empatija, rūpestis"
"vaizduote","Vaizduotė","Matyti galimybes, kurių dar nėra realybėje.","Vidinė įtampa kyla, kai tau tenka rinktis tarp vaizduotės ir praktinio įgyvendinimo.","fantazija, kūryba, vizija, idėjos"
"verslumas","Verslumas","Kurti vertę, galimybes ir veikti iniciatyviai.","Vidinė įtampa kyla, kai tau tenka rinktis tarp verslumo rizikos ir stabilumo poreikio.","iniciatyva, verslas, kūrimas, galimybės"
"vidine_laisve","Vidinė laisvė","Jaustis laisvam viduje, net esant riboms.","Vidinė įtampa kyla, kai tau tenka rinktis tarp vidinės laisvės ir išorinių įsipareigojimų.","vidinė erdvė, savarankiškumas, nepriklausomybė, ramybė"
"vidine_ramybe","Vidinė ramybė","Išlaikyti tylą ir stabilumą savyje.","Vidinė įtampa kyla, kai tau tenka rinktis tarp vidinės ramybės ir išorinio spaudimo veikti.","ramybė, tyla, pusiausvyra, stabilumas"
"vientisumas","Vientisumas","Suderinti žodžius, veiksmus ir vertybes.","Vidinė įtampa kyla, kai tau tenka rinktis tarp vientisumo ir patogaus kompromiso.","integralumas, nuoseklumas, sąžiningumas, tikrumas"
"viltis","Viltis","Tikėti, kad ateitis gali būti geresnė.","Vidinė įtampa kyla, kai tau tenka rinktis tarp vilties ir realybės priėmimo.","tikėjimas ateitimi, optimizmas, šviesa, lūkestis"
"zaismingumas","Žaismingumas","Leisti sau kurti, žaisti ir lengviau bandyti.","Vidinė įtampa kyla, kai tau tenka rinktis tarp žaismingumo ir rimtų atsakomybių.","lengvumas, humoras, žaidimas, kūryba"
"zinios","Žinios","Kaupti informaciją ir geriau suprasti pasaulį.","Vidinė įtampa kyla, kai tau tenka rinktis tarp žinių kaupimo ir išmintingo taikymo.","mokymasis, informacija, pažinimas, išmanymas"
"zmogiskumas","Žmogiškumas","Matyti žmogų prieš taisykles, naudą ar statusą.","Vidinė įtampa kyla, kai tau tenka rinktis tarp žmogiškumo ir sistemos efektyvumo.","humanizmas, atjauta, orumas, žmonės"
