"key","label","meaning","tension","phrases","active"
"laisve","Laisvė","Laisvė reiškia galimybę rinktis savo kryptį ir spręsti be perteklinės kontrolės. Svarbi erdvė, nepriklausomumas ir jausmas, kad gyveni pagal save.","Laisvė dažnai susiduria su saugumu ir įsipareigojimais.","Man svarbu pačiam rinktis., Nenoriu gyventi pagal svetimą planą., Noriu daugiau erdvės savo sprendimams.","yes"
"savarankiskumas","Savarankiškumas","Savarankiškumas reiškia gebėjimą atsiremti į save ir veikti be nuolatinės atramos iš kitų. Svarbu jausti, kad gali susitvarkyti savo jėgomis.","Savarankiškumas kartais apsunkina pagalbos priėmimą ir artumą.","Noriu stovėti ant savo kojų., Man svarbu susitvarkyti pačiam., Nenoriu nuo nieko priklausyti.","yes"
"drasa","Drąsa","Drąsa yra pasiryžimas veikti net tada, kai baisu ar nepatogu. Ji padeda ginti save, savo ribas ir tai, kas iš tikro svarbu.","Drąsa dažnai konkuruoja su ramybe ir saugumu.","Noriu nebetylėti., Man svarbu eiti ten, kur baisu., Noriu pasakyti, ką iš tikro galvoju.","yes"
"nuotykiai","Nuotykiai","Nuotykiai reiškia naujumą, gyvumą ir patirtis, kurios pažadina. Svarbu judėjimas, netikėtumas ir jausmas, kad gyvenimas nevyksta vien pagal rutiną.","Nuotykiai dažnai kertasi su pastovumu ir saugumu.","Noriu daugiau gyvumo., Mane traukia naujos patirtys., Nenoriu, kad viskas būtų visada taip pat.","yes"
"smalsumas","Smalsumas","Smalsumas yra noras suprasti, klausti ir atrasti daugiau. Jam svarbu atvirumas naujoms idėjoms, temoms ir žmonėms.","Smalsumas plečia akiratį, bet gali blaškyti nuo krypties.","Man įdomu, kaip viskas veikia., Vis noriu kapstyti giliau., Mėgstu klausti ir tyrinėti.","yes"
"augimas","Augimas","Augimas reiškia norą keistis, bręsti ir judėti pirmyn. Svarbu matyti, kad tampi platesnis, gilesnis ar stipresnis žmogus.","Augimas gali konfliktuoti su poilsiu ir priėmimu to, kas jau yra.","Noriu nesustoti vietoje., Man svarbu augti kaip žmogui., Ieškau, kaip tapti brandesniu ir stipresniu.","yes"
"meistryste","Meistrystė","Meistrystė yra noras daryti savo darbą labai gerai ir gilintis iki esmės. Čia svarbi kokybė, tikslumas ir nuolatinis šlifavimas.","Meistrystė dažnai lėtina tempą ir kelia aukštus reikalavimus.","Noriu savo sritį išmanyti giliai., Man svarbu daryti gerai, ne bet kaip., Smagu, kai matau, kad meistriškai valdau tai, ką darau.","yes"
"kuryba","Kūryba","Kūryba reiškia poreikį kurti, jungti idėjas ir išreikšti save naujai. Svarbi saviraiška, originalumas ir gyvas santykis su tuo, ką darai.","Kūryba dažnai priešinasi griežtai tvarkai ir rutinai.","Noriu kurti savo būdu., Man svarbu turėti erdvės idėjoms., Nenoriu vien tik kartoti tai, kas jau padaryta.","yes"
"pasiekimai","Pasiekimai","Pasiekimai reiškia rezultatą, progresą ir norą ką nors įveikti. Svarbu matyti aiškų judėjimą pirmyn ir apčiuopiamą rezultatą.","Pasiekimai gali stumti aukoti ramybę, santykius ar sveikatą.","Man svarbu matyti rezultatą., Noriu pasiekti tai, ką užsibrėžiau., Mane motyvuoja progresas.","yes"
"pripazinimas","Pripažinimas","Pripažinimas yra poreikis būti pastebėtam, įvertintam ir matomam. Svarbu žinoti, kad tavo pastangos ar talentas yra reikšmingi kitiems.","Pripažinimo poreikis gali atitraukti nuo autentiškumo.","Man svarbu, kad mano darbas būtų matomas., Noriu jausti įvertinimą., Skaudu, kai mano pastangų niekas nepastebi.","yes"
"itaka","Įtaka","Įtaka reiškia norą daryti poveikį, vesti ir keisti situacijas. Svarbu ne tik būti girdimam, bet ir realiai pajudinti žmones ar procesus.","Įtaka gali pereiti į kontrolę, jei pritrūksta pagarbos.","Noriu daryti realų poveikį., Man svarbu, kad mano balsas keistų situaciją., Nenoriu būti tik stebėtojas.","yes"
"tiesa","Tiesa","Tiesa reiškia sąžiningumą, faktų paisymą ir aiškų santykį su realybe. Svarbu nemeluoti sau ir kitiems, net kai tai nepatogu.","Tiesa gali skaudinti ir drumsti paviršinę ramybę.","Man svarbu sakyti tiesą., Nenoriu apsimetinėti, kad viskas gerai., Ieškau, kas čia iš tikro vyksta.","yes"
"autentiskumas","Autentiškumas","Autentiškumas reiškia gyvenimą taip, kad išorė kuo labiau sutaptų su vidumi. Svarbu būti savimi, o ne vaidinti patogią versiją kitiems.","Autentiškumas dažnai kertasi su prisitaikymu ir noru patikti.","Noriu būti savimi., Pavargau vaidinti tai, ko iš manęs tikimasi., Man svarbu, kad mano gyvenimas atitiktų mane.","yes"
"teisingumas","Teisingumas","Teisingumas yra siekis, kad taisyklės būtų sąžiningos, o žmonės vertinami lygiavertiškai. Svarbu, kad nebūtų piktnaudžiavimo, dvigubų standartų ar nepelnų privilegijų.","Teisingumas kartais reikalauja konflikto vietoj patogios tylos.","Man svarbu, kad būtų sąžininga., Negaliu ramiai žiūrėti į neteisybę., Noriu, kad taisyklės galiotų visiems vienodai.","yes"
"atsakomybe","Atsakomybė","Atsakomybė reiškia patikimumą, pareigų laikymąsi ir pasekmių prisiėmimą. Svarbu tesėti, ką pažadi, ir neatmesti savo vaidmens.","Atsakomybė gali tapti našta, jei nelieka vietos poilsiui ar laisvei.","Jei pažadu, padarau., Man svarbu būti žmogumi, kuriuo galima pasitikėti., Nenoriu bėgti nuo pasekmių.","yes"
"pagarba","Pagarba","Pagarba reiškia matyti savo ir kito žmogaus vertę. Jai svarbios ribos, orumas ir būdas elgtis taip, kad nežemintum nei savęs, nei kitų.","Pagarba riboja impulsyvų tiesmukumą ir grubumą.","Man svarbu kalbėti pagarbiai., Nenoriu būti menkinamas., Ribos man yra svarbios.","yes"
"disciplina","Disciplina","Disciplina yra gebėjimas laikytis krypties, ritmo ir susitarimų su savimi. Ji padeda daryti tai, kas svarbu, net kai nesinori.","Disciplina dažnai konfliktuoja su spontaniškumu ir žaismingumu.","Man reikia struktūros., Noriu laikytis to, ką nusprendžiau., Vien motyvacijos man neužtenka.","yes"
"ramybe","Ramybė","Ramybė reiškia vidinę tylą, mažiau įtampos ir jausmą, kad nereikia nuolat skubėti ar kovoti. Svarbu kvėpuoti laisviau ir būti mažiau išdraskytam.","Ramybė gali mažinti tempą ir išorinį veržlumą.","Noriu daugiau vidinės tylos., Pavargau nuo nuolatinės įtampos., Man svarbu jaustis ramiai.","yes"
"harmonija","Harmonija","Harmonija yra pusiausvyros jausmas tarp gyvenimo sričių, vaidmenų ir santykių. Svarbu, kad viskas derėtų tarpusavyje, o ne trauktų į priešingas puses.","Harmonija kartais reikalauja atsisakyti kraštutinumų ir perteklinio spaudimo.","Noriu daugiau balanso savo gyvenime., Man svarbu, kad viskas derėtų., Nenoriu gyventi išsitaškius į visas puses.","yes"
"saugumas","Saugumas","Saugumas reiškia stabilumą, apsaugą ir nuspėjamumą. Svarbu jausti, kad pagrindas po kojomis tvirtas ir rytojus nėra visiškai chaotiškas.","Saugumas dažnai riboja riziką, laisvę ir nuotykius.","Man svarbu stabilumas., Noriu jaustis saugiai., Nenoriu gyventi nuolatinėje nežinioje.","yes"
"sveikata","Sveikata","Sveikata reiškia rūpestį kūnu, psichika ir gyvybine energija. Svarbu ne tik nesirgti, bet ir jaustis gyvam, stipriam bei atsigavusiam.","Sveikata dažnai prašo riboti tempą, perdegimą ir trumpalaikius malonumus.","Man svarbu gerai jaustis savo kūne., Nenoriu aukoti sveikatos dėl visko kito., Noriu daugiau energijos ir geresnės savijautos.","yes"
"artumas","Artumas","Artumas reiškia gilų ryšį, atvirumą ir jausmą, kad su kitu galima būti tikram. Svarbu ne paviršinis bendravimas, o šiluma, pasitikėjimas ir emocinis kontaktas.","Artumas gali konfliktuoti su stipriu savarankiškumu ir ribų baime.","Man svarbus tikras ryšys., Noriu jaustis arti, o ne tik šalia., Ilgiuosi gilesnio emocinio kontakto.","yes"
"seima","Šeima","Šeima reiškia prioritetą artimųjų gerovei, ryšiui ir atsakomybei vieni už kitus. Svarbu priklausymas, rūpestis ir namų jausmas.","Šeima dažnai konkuruoja su asmenine laisve ir karjeros tikslais.","Man svarbiausia mano artimieji., Noriu kurti tvirtus namus., Dėl šeimos galiu daug ką keisti.","yes"
"bendruomene","Bendruomenė","Bendruomenė reiškia priklausymą grupei ir dalyvavimą kažkame bendrame. Svarbu jausti, kad esi ne vienas ir kad tavo indėlis reikalingas platesniam ratui.","Bendruomenė gali reikalauti derintis prie grupės, o ne tik prie savęs.","Man svarbu jaustis dalimi kažko didesnio., Noriu priklausyti žmonėms, su kuriais sutampu., Man gera, kai kuriame kažką kartu.","yes"
"empatija","Empatija","Empatija yra gebėjimas pajausti ir suprasti, ką išgyvena kitas žmogus. Svarbu ne tik girdėti žodžius, bet ir atliepti žmogų jo būsenoje.","Empatija be ribų gali išsekinti ir supainioti savus poreikius.","Man svarbu suprasti, kaip jaučiasi kitas., Nenoriu būti abejingas., Jaučiu, kai kitam sunku.","yes"
"dosnumas","Dosnumas","Dosnumas reiškia norą dalintis laiku, dėmesiu, žiniomis ar ištekliais. Svarbu duoti ne iš pareigos, o iš noro prisidėti ir padėti.","Dosnumas gali virsti savęs apleidimu, jei nelieka ribų.","Man patinka dalintis tuo, ką turiu., Noriu prisidėti prie kitų gerovės., Man svarbu duoti daugiau nei minimumą.","yes"
"prasme","Prasmė","Prasmė reiškia jausmą, kad tai, ką darai, turi gilesnę vertę ir kryptį. Svarbu ne tik veikti, bet ir žinoti, kodėl visa tai svarbu.","Prasmės paieška gali atitolinti nuo patogumo ir greitų rezultatų.","Man svarbu žinoti, dėl ko visa tai darau., Nenoriu gyventi be krypties., Ieškau gilesnės prasmės savo veikloje.","yes"
"dvasingumas","Dvasingumas","Dvasingumas reiškia ryšį su tuo, kas yra daugiau nei kasdieniai rūpesčiai. Tai gali būti tikėjimas, sakralumas, transcendencija ar gilesnis vidinis santykis su gyvenimu.","Dvasingumas ne visada telpa į griežtą kontrolę ir racionalų paaiškinimą.","Man svarbus ryšys su tuo, kas yra daugiau nei kasdienybė., Ieškau vidinės gelmės, ne tik paviršiaus., Man reikia ne vien materialaus atsakymo.","yes"
"tradicijos","Tradicijos","Tradicijos reiškia ryšį su paveldėtomis formomis, ritualais ir tęstinumu. Svarbu saugoti tai, kas perduota, ir jausti šaknis.","Tradicijos gali stabdyti pokytį, kai nauja ima atrodyti grėsminga.","Man svarbu tęstinumas., Noriu išsaugoti tai, kas perduota., Ritualai ir šaknys man daug reiškia.","yes"
"gamta","Gamta","Gamta reiškia ryšį su natūralumu, gyvybe ir buvimu už miesto triukšmo ribų. Svarbu žemė, sezonai, grynas oras ir jausmas, kad esi platesnės gyvybės dalis.","Gamta dažnai kviečia lėtėti, kai gyvenimas spaudžia greitėti.","Man reikia būti gamtoje., Atsigaunu, kai išeinu į mišką ar prie vandens., Noriu daugiau natūralumo savo gyvenime.","yes"
"grozis","Grožis","Grožis reiškia estetinę kokybę, dermę ir jautrumą formai, aplinkai ar patyrimui. Svarbu, kad tai, kas supa, ne tik veiktų, bet ir įkvėptų.","Grožio poreikis gali konfliktuoti su vien funkciniu ir greitu sprendimu.","Man svarbu estetiška aplinka., Noriu, kad būtų gražu, ne tik praktiška., Mane stipriai veikia vaizdas ir atmosfera.","yes"
"zaismingumas","Žaismingumas","Žaismingumas reiškia lengvumą, humorą ir gyvą santykį su gyvenimu. Svarbu džiaugsmas, lankstumas ir gebėjimas ne viską nešti per sunkumą.","Žaismingumas gali atrodyti nepakankamai rimtas disciplinos ar kontrolės akyse.","Man reikia daugiau lengvumo., Nenoriu, kad gyvenimas būtų vien rimtas., Mėgstu humorą ir gyvą energiją.","yes"
